,Unnamed: 0.1,Unnamed: 0,Column1,Unnamed,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,Gebietseinheit,pretax_income,available_income,hourly_wage,classic,creative,modern,french,stars_cat,other
17,19,16,114,14,215.0,245.0,Kreativ,de,Niedersachsen,Wolfsburg,38440,Sven Elverfeld,Wolfsburg,FALSCH,Aqua,524331722,10789999,3,0,https://guide.michelin.com/de/de/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,geschlossen,geschlossen,18:00-20:30,18:00-20:30,18:00-20:30,18:00-20:30,geschlossen,40,1,0,1,0,"Wolfsburg, Kreisfreie Stadt",63189.0,25815.0,46.01,0,1,0,0,1,0
18,20,17,116,16,258.0,275.0,Französisch klassisch,de,Rheinland-Pfalz,Bernkastel-Wittlich,54518,Clemens Rambichler,Dreis,FALSCH,Waldhotel Sonnora,499377323,68109342,3,0,https://guide.michelin.com/de/de/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,https://www.hotel-sonnora.de/,geschlossen,geschlossen,geschlossen,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30,4,1,0,0,0,"Bernkastel-Wittlich, Landkreis",30882.0,22967.0,24.63,1,0,0,1,1,0
19,21,18,125,5,198.0,240.0,Klassische Küche,de,Schleswig-Holstein,Schleswig-Flensburg,24960,Dirk Luther,Glücksburg,FALSCH,Meierei Dirk Luther,548225486,94999203,2,0,https://guide.michelin.com/de/de/schleswig-holstein/glcksburg/restaurant/meierei-dirk-luther,https://www.alter-meierhof.de/,geschlossen,geschlossen,18:30-21:30,18:30-21:30,18:30-21:30,18:30-21:30,geschlossen,40,1,0,1,1,"Schleswig-Flensburg, Kreis",28688.0,23506.0,22.79,1,0,0,0,0,0
20,22,19,130,10,179.0,209.0,Moderne Küche,de,Baden-Württemberg,Mannheim,68161,Dominik Paul,Mannheim,FALSCH,OPUS V,494858598,84699546,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/mannheim/restaurant/opus-v,https://www.restaurant-opus-v.de/,geschlossen,geschlossen,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,geschlossen,30,1,0,1,1,"Mannheim, Universitätsstadt, Stadtkreis",42882.0,22784.0,33.14,0,0,1,0,0,0
21,23,20,135,15,115.0,178.0,Französisch modern,de,Rheinland-Pfalz,Bernkastel-Wittlich,54498,Thomas Schanz,Piesport,FALSCH,schanz. restaurant.,498776003,69266002,3,0,https://guide.michelin.com/de/de/rheinland-pfalz/piesport/restaurant/schanz-restaurant,https://www.schanz-restaurant.de/de/,geschlossen,geschlossen,18:30-20:30,18:30-20:30,18:30-20:30,18:30-20:30,geschlossen,4,0,0,1,0,"Bernkastel-Wittlich, Landkreis",30882.0,22967.0,24.63,0,0,1,1,1,0
22,24,21,147,7,175.0,205.0,Kreativ,de,Baden-Württemberg,Stuttgart,70599,Stefan Gschwendtner,Stuttgart,FALSCH,Speisemeisterei,487128772,92135508,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/stuttgart/restaurant/speisemeisterei,https://www.speisemeisterei.de/,18:30-23:00,geschlossen,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,50,0,0,1,0,"Stuttgart, Landeshauptstadt, Stadtkreis",49375.0,26503.0,37.73,0,1,0,0,0,0
23,25,22,150,10,260.0,295.0,Kreativ,de,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,51429,Joachim Wissler,Bergisch Gladbach,FALSCH,Vendôme,509665691,71604778,2,0,https://guide.michelin.com/de/de/nordrhein-westfalen/bergisch-gladbach/restaurant/vendome,https://www.althoffcollection.com/de/althoff-grandhotel-schloss-bensberg,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,50,1,1,1,0,Rheinisch-Bergischer Kreis,33226.0,27207.0,27.15,0,1,0,0,0,0
24,27,23,153,13,180.0,275.0,Französisch modern,de,Bayern,München,80809,Bobby Bräuer,München,FALSCH,EssZimmer,481766707,11557409,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/esszimmer236176,https://www.feinkost-kaefer.de/esszimmer-muenchen,geschlossen,19:00-24:00,19:00-24:00,19:00-24:00,19:00-24:00,19:00-24:00,geschlossen,5,1,1,1,0,"München, Landkreis",51631.0,31835.0,38.32,0,0,1,1,0,0
25,28,24,154,14,214.0,284.0,Kreativ,de,Schleswig-Holstein,Nordfriesland,25980,Jan-Phillip Berner,Rantum,FALSCH,Söl'ring Hof,548536822,82887697,2,0,https://guide.michelin.com/de/de/schleswig-holstein/rantum/restaurant/sol-ring-hof,https://www.soelring-hof.de/,geschlossen,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,geschlossen,5,1,0,0,1,"Nordfriesland, Kreis",29842.0,26125.0,23.0,0,1,0,0,0,0
26,29,25,161,1,155.0,195.0,Französisch klassisch,de,Rheinland-Pfalz,Ahrweiler,53474,Hans Stefan Steinheuer,Bad Neuenahr-Ahrweiler,FALSCH,Steinheuers Restaurant Zur Alten Post,505509788,71642775,2,0,https://guide.michelin.com/de/de/rheinland-pfalz/bad-neuenahr-ahrweiler/restaurant/steinheuers-restaurant-zur-alten-post,https://www.steinheuers.de/,18:00-21:30,geschlossen,geschlossen,18:00-21:30,18:00-21:30,18:00-21:30,18:00-21:30,5,1,0,0,0,"Ahrweiler, Landkreis",30654.0,24590.0,25.12,1,0,0,1,0,0
