,Unnamed: 0.1,Unnamed: 0,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,classic,creative,modern,french,stars_cat,other
690,590,10,175.0,395.0,Kreativ,fr,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13008.0,Alexandre Mazzia,Marseille,False,AM par Alexandre Mazzia,43.2701104,5.3862325,3,0,https://guide.michelin.com/de/de/provence-alpes-cote-dazur/marseille/restaurant/am-par-alexandre-mazzia,https://www.alexandre-mazzia.com/,geschlossen,geschlossen,20:00-21:30,20:00-21:30,20:00-21:30,20:00-21:30,geschlossen,4.0,0,0,0,0,0,1,0,0,1,0
705,608,8,98.0,128.0,Moderne Küche,fr,Occitanie,Haute-Garonne,31000.0,Pierre Lambinon,Toulouse,False,Py-r,43.599313,1.4408583,2,0,https://guide.michelin.com/de/de/occitanie/toulouse/restaurant/py-r,https://www.py-r.com/,,,,,,,,,1,1,0,0,0,0,1,0,0,0
706,609,9,250.0,345.0,Klassische Küche,fr,Auvergne-Rhône-Alpes,Ain,1540.0,Georges Blanc,Vonnas,False,Georges Blanc,46.2201083,4.9894987,3,0,https://guide.michelin.com/de/de/auvergne-rhone-alpes/vonnas/restaurant/georges-blanc,https://www.georgesblanc.com/fr/,,,,,,,,,1,0,0,0,1,0,0,0,1,0
721,0,0,195.0,295.0,Kreativ,de,Bayern,,80333,,München,False,JAN,48.1447975,11.5629878,3,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/jan-1204321,https://jan-hartwig.com/,geschlossen,19:00-19:30,19:00-19:30,19:00-19:30,19:00-19:30,geschlossen,geschlossen,4.0,0,0,0,0,0,1,0,0,1,0
723,2,2,135.0,185.0,Kreativ,de,Hessen,,60323,Jochim Busch,Frankfurt am Main,False,Gustav,50.1207676,8.6704255,2,1,https://guide.michelin.com/de/de/hessen/frankfurt-am-main/restaurant/gustav464093,https://www.restaurant-gustav.de/,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,5.0,0,0,0,0,0,1,0,0,0,0
733,15,15,158.0,228.0,Französisch zeitgemäß,de,Bayern,Landkreis Miesbach,83700,Thomas Kellermann,Rottach-Egern,False,Gourmetrestaurant Dichter,47.6938521,11.7542108,2,0,https://guide.michelin.com/de/de/bayern/rottach-egern/restaurant/dichterstub-n,https://www.gourmetrestaurant-dichter.de/,geschlossen,geschlossen,18:30-22:30,18:30-22:30,18:30-22:30,18:30-22:30,geschlossen,4.0,1,0,1,0,0,0,0,1,0,0
739,21,1,179.0,210.0,Kreativ,de,Bayern,,86153,Christian Grünwald,Augsburg,False,AUGUST,48.3710103,10.9126019,2,0,https://guide.michelin.com/de/de/bayern/augsburg/restaurant/august495065,https://restaurantaugust.de/,geschlossen,geschlossen,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,3.0,0,0,0,0,0,1,0,0,0,0
758,44,4,215.0,265.0,Französisch klassisch,de,Baden-Württemberg,Landkreis Freudenstadt,72270,Torsten Michel,Baiersbronn,False,Schwarzwaldstube,48.5369113,8.3582803,3,0,https://guide.michelin.com/de/de/baden-wurttemberg/baiersbronn/restaurant/schwarzwaldstube,https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/,geschlossen,geschlossen,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,5.0,1,1,1,1,1,0,0,1,1,0
760,46,6,203.0,295.0,Französisch klassisch,de,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,79295,Udo Weiler,Sulzburg,False,Hirschen,47.8404612,7.7088806,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/sulzburg/restaurant/hirschen78032,https://www.douce-steiner.de/de_home.html,,,,,,,,,1,0,0,0,1,0,0,1,0,0
766,52,12,205.0,225.0,Französisch modern,de,Hessen,,60325,Andreas Krolik,Frankfurt am Main,False,Lafleur,50.1214911,8.6565825,2,0,https://guide.michelin.com/de/de/hessen/frankfurt-am-main/restaurant/lafleur,https://www.restaurant-lafleur.de/,geschlossen,geschlossen,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,geschlossen,4.0,1,1,1,0,0,0,1,1,0,0
